SEXE,REG_NAF,data_type,category,NB_POSTES,REMU_TOT_ANNU
F,13_L,anciennete,20-29,9332,42715
F,13_L,anciennete,30+,5352,51793
F,14_M,anciennete,00-05,325607,41389
F,14_M,anciennete,06-09,63655,50731
F,14_M,anciennete,10-14,54250,55083
F,14_M,anciennete,15-19,37706,58784
F,14_M,anciennete,20-29,32210,59916
F,14_M,anciennete,30+,16623,66551
F,15_N,anciennete,00-05,643165,24230
F,15_N,anciennete,06-09,82253,28170
F,15_N,anciennete,10-14,68399,28161
F,15_N,anciennete,15-19,47565,28143
F,15_N,anciennete,20-29,38966,35733
F,15_N,anciennete,30+,18477,34332
F,17_O,anciennete,00-05,57818,29684
F,17_O,anciennete,06-09,25650,28828
F,17_O,anciennete,10-14,27366,32411
F,17_O,anciennete,15-19,34621,34475
F,17_O,anciennete,20-29,38398,40016
F,17_O,anciennete,30+,15944,46794
F,18_P,anciennete,00-05,20647,24514
F,18_P,anciennete,06-09,4130,25755
F,18_P,anciennete,10-14,5937,37460
F,18_P,anciennete,15-19,3138,37541
F,18_P,anciennete,20-29,1934,41745
F,18_P,anciennete,30+,1023,35598
F,19_Q,anciennete,00-05,727264,25131
F,19_Q,anciennete,06-09,194832,26299
F,19_Q,anciennete,10-14,169130,27693
F,19_Q,anciennete,15-19,117981,27951
F,19_Q,anciennete,20-29,82935,33670
F,19_Q,anciennete,30+,41422,39350
F,20_R,anciennete,00-05,48841,27761
F,20_R,anciennete,06-09,9544,33697
F,20_R,anciennete,10-14,9809,33525
F,20_R,anciennete,15-19,7924,31316
F,20_R,anciennete,20-29,7161,45706
F,20_R,anciennete,30+,1769,53777
F,21_S,anciennete,00-05,91904,25693
F,21_S,anciennete,06-09,21721,23537
F,21_S,anciennete,10-14,9529,35944
F,21_S,anciennete,15-19,10380,39918
F,21_S,anciennete,20-29,13220,25989
F,21_S,anciennete,30+,5799,40296
H,04_BDE,anciennete,00-05,122504,38498
H,04_BDE,anciennete,06-09,28015,54479
H,04_BDE,anciennete,10-14,38645,55701
H,04_BDE,anciennete,15-19,31930,59607
H,04_BDE,anciennete,20-29,25033,50344
H,04_BDE,anciennete,30+,18527,54425
H,05_C,anciennete,00-05,723676,35969
H,05_C,anciennete,06-09,221308,46425
H,05_C,anciennete,10-14,199808,58022
H,05_C,anciennete,15-19,191705,51445
H,05_C,anciennete,20-29,306590,50294
H,05_C,anciennete,30+,185070,55956
H,06_F,anciennete,00-05,464774,32631
H,06_F,anciennete,06-09,98286,41403
H,06_F,anciennete,10-14,131505,39330
H,06_F,anciennete,15-19,73402,45213
H,06_F,anciennete,20-29,63339,48039
H,06_F,anciennete,30+,49671,43984
H,08_G,anciennete,00-05,771574,32599
H,08_G,anciennete,06-09,145120,47331
H,08_G,anciennete,10-14,121049,51269
H,08_G,anciennete,15-19,81236,52266
H,08_G,anciennete,20-29,141747,45939
H,08_G,anciennete,30+,51861,56263
H,09_H,anciennete,00-05,342071,30426
H,09_H,anciennete,06-09,114386,34312
H,09_H,anciennete,10-14,129219,38495
H,09_H,anciennete,15-19,95793,44833
H,09_H,anciennete,20-29,149535,43765
H,09_H,anciennete,30+,74405,47747
H,10_I,anciennete,00-05,265381,24767
H,10_I,anciennete,06-09,25251,36749
H,10_I,anciennete,10-14,20991,37243
H,10_I,anciennete,15-19,13901,37110
H,10_I,anciennete,20-29,13149,46880
