SEXE;REG_NAF;REG;NB_POSTES;REMU_TOT_ANNU
H;12_K;FRE;18473;52676
H;12_K;FRF;13267;52021
H;12_K;FRG;20759;48975
H;12_K;FRH;18757;50904
H;12_K;FRI;15289;72217
H;12_K;FRJ;21170;54947
H;12_K;FRK;21007;63589
H;12_K;FRL;15287;63171
H;12_K;FRY;4203;64097
H;13_L;FR1;25405;54507
H;13_L;FRB;1449;33494
H;13_L;FRC;6840;33473
H;13_L;FRD;2958;72433
H;13_L;FRE;7345;37471
H;13_L;FRF;2781;48016
H;13_L;FRG;1544;48153
H;13_L;FRH;2333;27572
H;13_L;FRI;4653;45103
H;13_L;FRJ;2103;38935
H;13_L;FRK;14879;40664
H;13_L;FRL;2719;48939
H;13_L;FRY;1715;73630
H;14_M;FR1;261808;77266
H;14_M;FRB;13814;41870
H;14_M;FRC;10038;54135
H;14_M;FRD;27700;40928
H;14_M;FRE;35834;48251
H;14_M;FRF;32513;44251
H;14_M;FRG;16365;49232
H;14_M;FRH;15912;37623
H;14_M;FRI;26388;47479
H;14_M;FRJ;60587;43780
H;14_M;FRK;98419;44886
H;14_M;FRL;37701;54897
H;14_M;FRY;4922;51701
H;15_N;FR1;318437;33828
H;15_N;FRB;16378;28042
H;15_N;FRC;26481;27084
H;15_N;FRD;16346;41269
H;15_N;FRE;100970;30359
H;15_N;FRF;54672;30819
H;15_N;FRG;45288;32294
H;15_N;FRH;46312;31557
H;15_N;FRI;81526;29498
H;15_N;FRJ;45620;30193
H;15_N;FRK;68790;32248
H;15_N;FRL;73519;35438
H;15_N;FRY;27833;26463
H;17_O;FR1;10367;46332
H;17_O;FRB;589;40364
H;17_O;FRC;952;46592
H;17_O;FRD;1204;48973
H;17_O;FRE;3095;37425
H;17_O;FRF;2020;44836
H;17_O;FRG;534;42653
H;17_O;FRH;846;58660
H;17_O;FRI;9275;26432
H;17_O;FRJ;2275;46260
H;17_O;FRK;4260;43876
H;17_O;FRL;9164;33628
H;17_O;FRY;1766;56598
H;18_P;FR1;5613;44548
H;18_P;FRB;1038;41447
H;18_P;FRC;3481;57280
H;18_P;FRD;1074;30250
H;18_P;FRE;4178;28457
H;18_P;FRF;3179;10250
H;18_P;FRG;3726;21684
H;18_P;FRH;145;47257
H;18_P;FRI;1031;37715
H;18_P;FRJ;1536;31865
H;18_P;FRK;1677;43161
H;18_P;FRL;3370;31044
H;18_P;FRY;303;52577
H;19_Q;FR1;56298;36544
H;19_Q;FRB;19929;25965
H;19_Q;FRC;8849;24747
H;19_Q;FRD;20411;28589
H;19_Q;FRE;36068;25342
H;19_Q;FRF;28326;30151
H;19_Q;FRG;8841;25302
H;19_Q;FRH;22335;28375
H;19_Q;FRI;38687;23743
H;19_Q;FRJ;39551;30070
H;19_Q;FRK;42568;35778
H;19_Q;FRL;47614;22731
H;19_Q;FRY;9739;31143
H;20_R;FR1;34184;60559
H;20_R;FRB;2440;33642
H;20_R;FRC;836;41353
H;20_R;FRD;1656;34450
H;20_R;FRE;7130;43434
H;20_R;FRF;7065;44915
H;20_R;FRG;3621;44920
H;20_R;FRH;413;47624
H;20_R;FRI;12939;48261
H;20_R;FRJ;8043;31421
H;20_R;FRK;14074;32733
H;20_R;FRL;7160;47934
H;20_R;FRY;1458;53058
H;21_S;FR1;22735;43951
H;21_S;FRB;2263;33033
H;21_S;FRC;12164;37417
H;21_S;FRD;8054;31522
H;21_S;FRE;10551;26492
H;21_S;FRF;2999;26959
H;21_S;FRG;8368;44683
H;21_S;FRH;4301;31529
H;21_S;FRI;13372;26956
H;21_S;FRJ;11255;21749
H;21_S;FRK;7828;33028
H;21_S;FRL;10732;27602
H;21_S;FRY;3645;36023
F;04_BDE;E;75392;48368
